codpot,agebsq,date
B001,626.875,2025-06-18
B002,1466.875,2025-06-18
B003,284.7917,2025-06-18
B004,815.5833,2025-06-18
B005,833.5833,2025-06-18
B006,496.8333,2025-06-18
B007,1653.5417,2025-06-18
B008,843.5833,2025-06-18
B009,850.875,2025-06-18
B010,854.7917,2025-06-18
B011,82.7917,2025-06-18
B012,376.875,2025-06-18
B013,618.8333,2025-06-18
B014,482.75,2025-06-18
B015,1501.5833,2025-06-18
B016,58.875,2025-06-18
B017,1507.5,2025-06-18
B018,276.9167,2025-06-18
B019,1450.9167,2025-06-18
B020,451.5,2025-06-18
B021,205.5,2025-06-18
B022,523.4583,2025-06-18
B023,12.9583,2025-06-18
B024,798.875,2025-06-18
B025,1024.8333,2025-06-18
B026,326.875,2025-06-18
B027,597.4583,2025-06-18
B028,562.7917,2025-06-18
B029,1141.5417,2025-06-18
B030,1830.9167,2025-06-18
B031,1644.7917,2025-06-18
B032,467.5,2025-06-18
B033,132.7917,2025-06-18
B034,288.875,2025-06-18
B035,676.8333,2025-06-18
B036,694.8333,2025-06-18
B037,571.5,2025-06-18
B038,,2025-06-18
B039,1333.5417,2025-06-18
B040,26.9167,2025-06-18
B041,312.875,2025-06-18
B042,434.9167,2025-06-18
B043,505.5,2025-06-18
B044,33.5417,2025-06-18
B045,1140.8333,2025-06-18
B046,1814.875,2025-06-18
B047,1599.4583,2025-06-18
B048,198.7917,2025-06-18
B049,387.5417,2025-06-18
B050,1619.5,2025-06-18
B051,730.8333,2025-06-18
B052,1103.0,2025-06-18
B053,67.5417,2025-06-18
B054,244.9167,2025-06-18
B055,1108.8333,2025-06-18
B056,1824.875,2025-06-18
B057,858.8333,2025-06-18
B058,591.5,2025-06-18
B059,744.9167,2025-06-18
B060,1669.5,2025-06-18
B061,167.4167,2025-06-18
B062,1563.4583,2025-06-18
B063,684.8333,2025-06-18
B064,512.75,2025-06-18
B065,612.875,2025-06-18
B066,580.8333,2025-06-18
B067,776.5417,2025-06-18
B068,747.8333,2025-06-18
B069,874.2083,2025-06-18
B070,896.7917,2025-06-18
B071,226.4167,2025-06-18
B072,949.2083,2025-06-18
B073,739.7917,2025-06-18
B074,765.8333,2025-06-18
B075,811.875,2025-06-18
B076,812.5,2025-06-18
B077,819.7917,2025-06-18
B078,1260.2083,2025-06-18
B079,1410.125,2025-06-18
B080,1605.4167,2025-06-18
B081,1359.125,2025-06-18
B082,355.7917,2025-06-18
B083,319.875,2025-06-18
B084,788.625,2025-06-18
B085,1314.5,2025-06-18
B086,829.875,2025-06-18
B087,835.8333,2025-06-18
B088,838.5,2025-06-18
B089,220.5417,2025-06-18
B090,865.8333,2025-06-18
B091,868.5,2025-06-18
B092,1437.875,2025-06-18
B093,1710.5,2025-06-18
B094,577.7917,2025-06-18
B095,1113.9167,2025-06-18
B096,846.5,2025-06-18
B097,1409.875,2025-06-18
B098,235.7917,2025-06-18
B099,1297.875,2025-06-18
B100,1140.5417,2025-06-18
B101,249.7917,2025-06-18
B102,1134.5,2025-06-18
B103,858.5,2025-06-18
B104,874.5417,2025-06-18
B105,1345.875,2025-06-18
B106,96.4583,2025-06-18
B107,1570.5,2025-06-18
B108,458.4583,2025-06-18
B109,861.8333,2025-06-18
B110,1751.1667,2025-06-18
B111,116.5,2025-06-18
B112,633.875,2025-06-18
B113,488.4583,2025-06-18
B114,751.9167,2025-06-18
B115,1801.8333,2025-06-18
B116,1471.8333,2025-06-18
B117,108.5,2025-06-18
B118,566.4583,2025-06-18
B119,1128.5417,2025-06-18
B120,875.8333,2025-06-18
B121,854.4583,2025-06-18
B122,129.7917,2025-06-18
B123,1284.5,2025-06-18
B124,647.8333,2025-06-18
B125,883.875,2025-06-18
B126,554.5,2025-06-18
B127,473.7917,2025-06-18
B128,896.5,2025-06-18
B129,895.8333,2025-06-18
B130,889.7917,2025-06-18
B131,888.4583,2025-06-18
B132,62.5,2025-06-18
A132,895.4583,2025-06-18
A131,1078.8333,2025-06-18
A130,1630.875,2025-06-18
A129,270.875,2025-06-18
A128,527.5,2025-06-18
A127,1463.7917,2025-06-18
A126,802.9167,2025-06-18
A125,712.875,2025-06-18
A124,1518.7083,2025-06-18
A123,1093.0,2025-06-18
A122,538.8333,2025-06-18
A121,888.875,2025-06-18
A120,1118.8333,2025-06-18
A119,1134.875,2025-06-18
A118,1034.875,2025-06-18
A117,187.4583,2025-06-18
A116,145.5,2025-06-18
A115,640.875,2025-06-18
A114,258.8333,2025-06-18
A113,1818.875,2025-06-18
A112,1513.5,2025-06-18
A111,1754.875,2025-06-18
A110,1127.5417,2025-06-18
A109,1275.7917,2025-06-18
A108,840.8333,2025-06-18
A107,724.8333,2025-06-18
A106,889.4167,2025-06-18
A105,1225.2083,2025-06-18
A104,1035.5417,2025-06-18
A103,1576.0417,2025-06-18
A102,768.875,2025-06-18
A101,718.8333,2025-06-18
A100,882.8333,2025-06-18
A099,156.7917,2025-06-18
A098,819.5,2025-06-18
A097,298.875,2025-06-18
A096,883.4583,2025-06-18
A095,622.875,2025-06-18
A094,875.4583,2025-06-18
A093,137.5,2025-06-18
A092,1133.5417,2025-06-18
A091,215.4583,2025-06-18
A090,896.7917,2025-06-18
A089,103.5,2025-06-18
A088,373.5833,2025-06-18
A087,868.8333,2025-06-18
A086,1368.875,2025-06-18
A085,265.5833,2025-06-18
A084,1722.875,2025-06-18
A083,1549.5,2025-06-18
A082,1098.8333,2025-06-18
A081,1319.5,2025-06-18
A080,123.5,2025-06-18
A079,1094.75,2025-06-18
A078,1521.5,2025-06-18
A077,79.5417,2025-06-18
A076,1697.5,2025-06-18
A075,447.4583,2025-06-18
A074,821.875,2025-06-18
A073,545.4583,2025-06-18
A072,20.9167,2025-06-18
A071,1382.9167,2025-06-18
A070,1486.875,2025-06-18
A069,1086.875,2025-06-18
A068,255.5833,2025-06-18
A067,1068.7917,2025-06-18
A066,663.875,2025-06-18
A065,160.5,2025-06-18
A064,752.5417,2025-06-18
A063,703.875,2025-06-18
